#{"t_start": 1754500590.5256593, "env_id": "SpaceInvadersNoFrameskip-v4"}
r,l,t
340.0,3289,3539.251896
425.0,3521,3557.10042
455.0,3705,3563.760894
335.0,2775,3566.674364
570.0,4229,3571.107933
315.0,2761,3574.081255
805.0,4139,3578.149705
280.0,2655,3581.01578
240.0,2525,3583.538113
545.0,4963,3588.32539
405.0,2779,3591.188585
580.0,2891,3597.040006
500.0,3925,3600.963523
660.0,4615,3606.052914
305.0,2947,3609.364777
310.0,3431,3613.007098
520.0,4003,3616.979072
555.0,2967,3620.426519
570.0,4743,3628.43439
720.0,3969,3633.054523
1085.0,7309,3640.949494
555.0,4858,3646.22797
580.0,3923,3650.175752
480.0,3987,3654.18803
430.0,3213,3657.687118
495.0,3669,3664.523864
600.0,4959,3669.779506
690.0,3903,3686.693844
600.0,4565,3694.070536
350.0,2665,3696.879344
485.0,4433,3701.35593
545.0,3741,3705.073736
575.0,4116,3709.140289
500.0,3343,3712.42375
715.0,3527,3715.890574
595.0,3859,3719.816201
510.0,3505,3723.567194
600.0,4831,3731.95643
200.0,1807,3733.898657
730.0,3881,3737.8372
555.0,5096,3743.588344
430.0,3711,3747.850214
575.0,4805,3752.920104
530.0,4529,3760.627055
580.0,4285,3765.260032
355.0,3443,3768.839223
380.0,4023,3773.278869
570.0,4435,3777.851944
575.0,4403,3782.433197
745.0,3029,3785.593405
445.0,3635,3789.469327
775.0,3841,3796.379337
600.0,4483,3800.770324
325.0,2711,3818.17518
710.0,5923,3827.545648
475.0,3411,3831.749784
685.0,4261,3836.631247
290.0,2647,3839.56655
535.0,2725,3842.525196
495.0,3465,3846.275838
315.0,3347,3849.885899
520.0,4281,3854.5213
500.0,3185,3860.810171
455.0,3941,3865.240237
200.0,1825,3867.133524
275.0,2759,3870.355572
240.0,2199,3873.002779
280.0,2719,3876.413559
335.0,2655,3879.384058
520.0,3171,3882.519892
775.0,3280,3885.685015
1355.0,7051,3895.90791
505.0,4341,3900.337333
500.0,3671,3904.361392
510.0,4461,3908.995735
600.0,4821,3914.031838
940.0,3759,3917.800074
720.0,4062,3925.155537
510.0,3647,3929.123701
470.0,2989,3932.143482
610.0,5064,3937.540544
600.0,4433,3959.445122
575.0,4585,3964.483161
575.0,3045,3967.610895
445.0,4303,3971.868406
430.0,3507,3975.599682
600.0,4009,3980.108187
530.0,4355,3984.75311
585.0,3199,3990.98298
500.0,3635,3994.672291
90.0,1083,3995.720462
525.0,4125,3999.773626
485.0,4321,4004.540189
1630.0,8937,4013.752705
580.0,4643,4018.358441
315.0,4429,4026.140221
485.0,3401,4029.958087
365.0,4361,4034.663533
655.0,3537,4038.231875
605.0,4797,4043.378859
575.0,4641,4048.356722
410.0,2777,4051.581403
545.0,3945,4058.426704
1430.0,6491,4065.061417
515.0,3151,4068.45884
605.0,4145,4085.572394
540.0,3607,4092.036523
745.0,3865,4096.088393
600.0,4389,4101.203099
440.0,3951,4105.65436
605.0,4785,4110.659671
600.0,4491,4115.404172
700.0,4033,4122.721967
480.0,3505,4126.757905
220.0,2753,4129.887153
570.0,4211,4134.64553
600.0,3719,4138.496679
800.0,5357,4144.036387
385.0,2755,4146.694289
495.0,4063,4150.761519
915.0,7223,4161.221551
610.0,3529,4165.082541
955.0,4170,4169.987617
490.0,3881,4174.348165
545.0,3223,4177.824269
465.0,4051,4182.587577
570.0,3983,4189.528967
545.0,3699,4193.781566
540.0,4609,4198.806276
570.0,4510,4203.586389
600.0,4777,4226.342111
495.0,4153,4232.02588
555.0,4281,4236.179728
540.0,4861,4241.577168
330.0,3335,4245.044982
1155.0,6753,4254.808273
425.0,2988,4258.236338
745.0,4041,4262.70586
495.0,4063,4266.904638
545.0,4191,4271.355684
1000.0,4457,4276.340275
435.0,3239,4280.089196
455.0,3489,4286.807999
680.0,4293,4291.482763
575.0,4323,4296.188021
525.0,4465,4300.955315
515.0,3510,4304.639111
400.0,3371,4307.838805
750.0,5493,4313.419467
515.0,3177,4319.622638
440.0,4123,4324.08426
600.0,4335,4328.257272
385.0,2995,4331.254143
1445.0,7607,4359.728216
600.0,3909,4364.053676
395.0,3683,4368.188762
465.0,3443,4372.083247
480.0,3543,4376.911905
600.0,4185,4385.677027
320.0,2807,4389.256186
500.0,4427,4394.876547
770.0,4033,4399.380162
800.0,4073,4403.93487
635.0,4155,4408.246101
545.0,3721,4412.558692
545.0,3297,4418.939593
745.0,3965,4423.235444
965.0,6430,4430.192446
515.0,3265,4433.809873
575.0,4353,4438.768491
725.0,4179,4443.277498
430.0,3103,4447.024912
415.0,4345,4454.815137
800.0,4617,4459.602232
755.0,3731,4464.067068
525.0,4017,4468.438039
770.0,3338,4472.162629
715.0,4293,4476.741021
545.0,3570,4480.576363
600.0,4547,4500.515618
520.0,3649,4504.478551
320.0,2493,4506.979686
460.0,3671,4511.014658
495.0,3991,4518.31969
645.0,4255,4523.36322
465.0,3517,4527.561346
385.0,3235,4531.27934
670.0,3963,4535.064054
570.0,3595,4538.509044
750.0,3216,4541.704092
910.0,6265,4551.518183
690.0,3377,4555.036574
605.0,3985,4559.656612
550.0,3961,4563.748427
720.0,3510,4568.280315
485.0,4439,4573.573646
375.0,2545,4576.674438
215.0,2769,4579.824843
510.0,3345,4586.73566
1715.0,7615,4595.948884
540.0,4426,4600.490188
695.0,3489,4604.004013
460.0,3455,4607.690826
495.0,4241,4612.446079
545.0,3881,4619.320656
880.0,7281,4641.721184
515.0,3647,4645.944474
495.0,4669,4654.197862
420.0,2535,4656.99697
575.0,3990,4660.902686
575.0,4082,4664.905551
440.0,4141,4668.7866
345.0,3697,4672.345848
240.0,2135,4674.545631
530.0,4368,4682.304658
485.0,4101,4686.242306
605.0,4731,4691.010524
445.0,3701,4694.610542
485.0,3633,4698.12683
375.0,2199,4700.255968
415.0,3052,4703.783595
100.0,1829,4705.641301
600.0,5181,4710.888961
445.0,2711,4716.924218
185.0,2719,4719.95115
540.0,3887,4724.0774
550.0,3929,4728.004724
600.0,4269,4732.234906
780.0,4987,4737.465016
315.0,3061,4740.561991
840.0,5855,4749.595802
730.0,3617,4767.300608
370.0,3259,4770.410492
410.0,4237,4774.83093
405.0,3977,4781.957765
335.0,2241,4784.26462
700.0,5125,4789.649068
1000.0,7035,4796.75648
515.0,3514,4800.585571
570.0,3841,4804.898615
400.0,3813,4809.114229
570.0,3386,4815.820769
320.0,2683,4818.692429
465.0,3517,4822.294683
470.0,3581,4826.122981
255.0,2403,4828.64633
955.0,5259,4834.30266
605.0,3659,4838.046472
1000.0,5071,4843.329565
600.0,3445,4850.106738
600.0,3975,4854.299774
800.0,4271,4858.666378
755.0,3685,4862.452151
555.0,4668,4867.382652
600.0,4813,4872.37588
435.0,3095,4875.58551
1045.0,8057,4901.713427
600.0,4545,4906.046932
390.0,3369,4909.642109
600.0,4283,4917.256411
545.0,4099,4921.619972
255.0,2249,4924.073226
715.0,4164,4928.30155
765.0,3415,4931.63353
600.0,4925,4936.367746
545.0,4027,4940.233715
600.0,4787,4948.103237
350.0,3039,4951.225175
520.0,3743,4955.341507
555.0,3995,4959.606345
545.0,4619,4964.818722
1060.0,7191,4972.700217
515.0,3871,4979.343261
430.0,2949,4982.342052
600.0,4077,4986.489054
545.0,3721,4989.981478
600.0,4521,4994.360973
380.0,3269,4997.592152
600.0,4111,5001.738028
545.0,3492,5005.278499
