#{"t_start": 1754500590.5256593, "env_id": "SpaceInvadersNoFrameskip-v4"}
r,l,t
185.0,1737,433.733262
135.0,2143,435.915741
170.0,2415,438.672023
225.0,2295,441.159738
285.0,2963,447.125692
20.0,1113,448.278924
375.0,3053,451.96782
215.0,2559,454.877969
75.0,1191,456.068706
40.0,1831,457.996822
325.0,4237,462.76254
55.0,1123,463.858492
330.0,3273,467.374787
80.0,1515,469.057511
340.0,3387,481.37664
170.0,2695,484.644276
120.0,2133,487.320688
105.0,1935,489.477812
220.0,3023,493.076713
600.0,3303,496.746714
90.0,1745,498.837648
355.0,3923,503.386851
325.0,2879,506.608772
375.0,3505,512.814752
155.0,1845,514.645084
95.0,1123,515.785758
595.0,3585,519.641575
335.0,3413,523.351045
200.0,1809,525.168488
340.0,3601,529.257409
435.0,4537,534.127151
130.0,1985,536.249855
280.0,3284,539.807102
230.0,2433,544.931724
210.0,2137,547.593858
215.0,2739,550.853411
345.0,2803,554.003652
275.0,3529,558.128336
65.0,1587,560.078897
105.0,1125,561.526161
255.0,3145,564.968884
205.0,2873,567.99415
170.0,2459,570.960658
320.0,2551,576.116548
290.0,2867,578.999066
200.0,2501,581.580545
210.0,2987,584.729124
260.0,3235,588.239333
220.0,2041,590.402265
200.0,2405,593.046194
475.0,3027,596.293012
225.0,2227,598.661549
225.0,1877,612.125174
270.0,3457,615.935591
175.0,2521,618.59172
380.0,2813,621.585468
185.0,1911,623.631575
225.0,2053,625.837454
230.0,1883,627.885111
315.0,2661,630.917408
180.0,2089,633.19221
715.0,5893,642.112831
340.0,3237,645.670439
285.0,2425,648.455001
235.0,2497,651.173301
585.0,3349,654.677171
110.0,1795,656.4444
395.0,3601,660.372546
90.0,1487,661.915838
75.0,1851,663.86739
120.0,2065,666.053632
300.0,3229,669.517891
155.0,2135,674.591862
175.0,2043,677.112666
130.0,2075,679.413922
245.0,2413,681.915133
290.0,2481,684.598689
490.0,3933,689.198737
390.0,2939,692.647457
230.0,2495,695.449938
55.0,1161,696.6855
65.0,1957,699.03076
250.0,1867,701.323865
340.0,3919,709.271666
335.0,3233,713.0034
140.0,1917,715.061391
265.0,3531,718.74138
490.0,2789,721.672379
660.0,3881,725.696037
180.0,2613,728.393369
210.0,2505,731.236505
110.0,1695,745.279993
405.0,4109,750.072423
180.0,2661,753.238644
150.0,1919,755.436472
275.0,2159,757.7779
320.0,2531,760.678437
335.0,3609,765.919458
90.0,1241,767.61579
130.0,1779,772.276888
170.0,1999,774.446733
365.0,2903,778.175199
50.0,1251,779.716735
210.0,1945,782.168158
215.0,2483,785.354984
745.0,5479,791.741946
225.0,2287,794.282644
235.0,2781,797.575503
160.0,1693,799.732845
60.0,1123,804.120185
265.0,3221,808.344251
145.0,1953,810.625446
135.0,1929,812.834875
300.0,3297,816.545288
90.0,1181,817.988203
505.0,3777,822.062675
210.0,2497,824.792163
340.0,2031,827.108864
310.0,3319,830.71004
330.0,3299,836.876144
255.0,2431,839.874151
265.0,2735,843.018054
85.0,1209,844.447305
75.0,1121,845.73865
15.0,1941,847.820858
295.0,2936,851.065583
195.0,2049,853.369628
845.0,6325,860.396908
240.0,2553,863.032213
305.0,3469,870.770817
540.0,3421,885.983566
325.0,3133,889.223386
135.0,2077,891.903919
290.0,2819,894.789429
125.0,1333,896.429793
210.0,2435,899.408563
210.0,2565,905.094231
210.0,2631,908.070758
215.0,2785,911.30422
210.0,2187,913.645839
210.0,2495,916.485718
135.0,2003,918.506732
175.0,2403,921.274957
215.0,2939,924.519616
390.0,3943,928.843623
175.0,1939,931.218625
260.0,2983,937.45792
155.0,2395,940.315321
245.0,2541,943.148427
250.0,2409,945.905055
110.0,1751,948.089151
250.0,2101,950.577551
245.0,2523,953.324342
190.0,1969,955.356041
115.0,2051,958.182586
165.0,1905,960.484164
270.0,3003,963.995562
75.0,1131,968.01528
95.0,2107,970.462284
875.0,5441,976.618841
155.0,1923,978.653516
330.0,2851,981.825624
210.0,2609,985.058617
225.0,2097,987.9065
420.0,3615,991.971997
415.0,3841,996.333701
180.0,1923,1001.318729
360.0,3387,1005.14239
140.0,1849,1007.365506
365.0,3891,1012.253897
80.0,1053,1013.52537
645.0,3697,1028.386636
475.0,3603,1035.113182
